,,,,,Marketwise Price & Arrival Report (20-11-2025),,,,
,,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,Variety,MSP (Rs./Quintal) 2025-26,"Price on 20 Nov, 2025","Price on 19 Nov, 2025","Price on 18 Nov, 2025","Arrival on 20 Nov, 2025","Arrival on 19 Nov, 2025","Arrival on 18 Nov, 2025"
Cereals,Bajra(Pearl Millet/Cumbu),Bold,2775.00,2375.14,2819.31,2687.69,105.50,141.60,209.20
Cereals,Bajra(Pearl Millet/Cumbu),Deshi,2775.00,2054.85,2139.47,2194.33,32.11,16.65,30.14
Cereals,Bajra(Pearl Millet/Cumbu),Hybrid,2775.00,2755.83,2764.07,2761.51,5136.05,4341.90,3963.95
Cereals,Bajra(Pearl Millet/Cumbu),Local,2775.00,2535.40,2022.69,2028.07,282.10,30.90,28.50
Cereals,Bajra(Pearl Millet/Cumbu),Millet,2775.00,2053.89,2033.41,2071.19,86.65,73.36,112.81
Cereals,Bajra(Pearl Millet/Cumbu),Other,2775.00,2540.06,2737.26,2593.08,440.31,559.45,581.86
Cereals,Bajra(Pearl Millet/Cumbu),Pattu Bajra (Sweet),2775.00,1988.00,-,2015.00,2.50,-,1.30
Cereals,Barley(Jau),Barley,1980.00,2374.44,2192.20,2385.89,30.23,59.78,12.36
Cereals,Barley(Jau),Dara,1980.00,2300.17,2341.00,2319.52,152.30,105.50,128.10
Cereals,Barley(Jau),Deshi,1980.00,-,3135.00,-,-,0.09,-
Cereals,Barley(Jau),Other,1980.00,2550.00,2087.87,-,17.00,43.70,-
Cereals,Jowar(Sorghum),Jowar ( White),3699.00,4079.71,3946.76,4063.34,52.28,33.19,56.78
Cereals,Jowar(Sorghum),Jowar (Yellow),3699.00,2088.10,2617.46,2341.29,107.60,36.59,22.99
Cereals,Jowar(Sorghum),Jowar Hybrid,3699.00,1880.00,3699.00,-,3.50,18.80,-
Cereals,Jowar(Sorghum),Local,3699.00,3114.71,2790.00,3227.21,3.74,1.35,7.93
Cereals,Jowar(Sorghum),Other,3699.00,4808.11,5017.38,4941.71,116.79,80.90,94.67
Cereals,Maize,Deshi Red,2400.00,1800.30,1868.00,2181.09,1763.87,2246.94,701.70
Cereals,Maize,Deshi White,2400.00,1688.33,1651.96,1941.00,26.16,15.47,2.23
Cereals,Maize,Hybrid,2400.00,1865.88,2132.44,1828.64,613.40,193.20,731.58
Cereals,Maize,Hybrid Red (Cattle Feed),2400.00,-,-,2385.71,-,-,17.50
Cereals,Maize,Hybrid Yellow (Cattle Feed),2400.00,1718.92,2255.00,2226.19,31.08,12.00,13.53
Cereals,Maize,Hybrid/Local,2400.00,2296.49,2274.99,2254.81,292.00,846.90,684.50
Cereals,Maize,Local,2400.00,1549.23,1545.33,1542.51,39620.21,49085.41,48876.73
Cereals,Maize,Maize/Corn-Organic,2400.00,1418.34,1608.78,1664.22,127.24,173.41,291.79
Cereals,Maize,Medium,2400.00,2200.00,-,-,7.00,-,-
Cereals,Maize,Other,2400.00,2055.98,1834.95,2064.90,205.13,392.00,404.42
Cereals,Maize,Popcorn,2400.00,1556.42,-,-,51.90,-,-
Cereals,Maize,White (SAFED),2400.00,2650.00,-,2650.00,43.40,-,33.60
Cereals,Maize,Yellow,2400.00,1691.86,1685.87,1669.00,11243.44,15437.94,13508.95
Cereals,Paddy(Common),1001,2369.00,2369.74,2387.20,2382.07,333.10,3212.70,683.20
Cereals,Paddy(Common),1121,2369.00,2922.09,2928.68,3229.17,42.71,27.72,33.60
Cereals,Paddy(Common),B P T,2369.00,2369.01,2350.01,2369.00,14.77,8.61,375.20
Cereals,Paddy(Common),Basmati,2369.00,3012.26,3111.39,3054.37,5656.66,5776.16,5205.41
Cereals,Paddy(Common),Basmati 1509,2369.00,2526.02,2604.16,2603.84,286.79,3481.08,3993.07
Cereals,Paddy(Common),Common,2369.00,2210.97,2206.74,2159.73,24152.26,23800.85,26006.03
Cereals,Paddy(Common),D.B.,2369.00,3308.27,3287.77,3233.77,4622.70,3894.00,3864.60
Cereals,Paddy(Common),Dhan,2369.00,2869.16,2769.19,2673.66,6088.44,9438.56,7797.76
Cereals,Paddy(Common),Fine,2369.00,2070.28,2003.18,2008.20,3596.50,3366.70,4522.90
Cereals,Paddy(Common),HMT,2369.00,-,2300.00,-,-,0.30,-
Cereals,Paddy(Common),I.R. 36,2369.00,2391.06,2387.34,2387.66,181.20,113.75,130.10
Cereals,Paddy(Common),I.R. 64,2369.00,2390.00,-,2150.08,14.00,-,147.82
Cereals,Paddy(Common),I.R. 8,2369.00,2369.00,-,2369.00,60.00,-,40.00
Cereals,Paddy(Common),I.R.-64,2369.00,2369.00,2369.00,2369.00,61.20,0.00,64.00
